COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
BOND HILL,"1871 DALEWOOD PL
Cincinnati, OH
(39.17606192733922, -84.46221804726804)",SR12032618,CLOSED  ,Pothole repair,3 large potholes near address of Dalewood & Hermit,07/09/2012 12:00:00 AM,12:50 PM,1871 DALEWOOD PL - GJ1921939369,63,STANDARD,PHONE,11900020251,07/09/2012 12:00:00 AM,DCOTTRELL,07/11/2012 12:00:00 AM,,07/11/2012 12:00:00 AM,07/11/2012 12:00:00 AM,,1412277,434338,
SOUTH FAIRMOUNT,"2024 QUEEN CITY AV
Cincinnati, OH
(39.128406853006595, -84.56745671113674)",SR12032598,CLOSED  ,Pothole repair,Pothole on Queen City Av and Westmont in the curb lane and cause motorist tire to blow out,07/09/2012 12:00:00 AM,11:58 AM,QUEEN CITY BYPS & WESTWOOD AV - GJ1026133800,92,STANDARD,PHONE,20500240017,07/09/2012 12:00:00 AM,DSWEETEN,07/11/2012 12:00:00 AM,,07/30/2012 12:00:00 AM,07/30/2012 12:00:00 AM,TMACK,1382025,417555,
ENGLISH WOODS,"1910 KNOB CT
Cincinnati, OH
(39.13830814612006, -84.5540929532676)",SR12032539,CLOSED  ,Pothole repair,Patrol for potholes,07/09/2012 12:00:00 AM,10:09 AM,1910 KNOB CT - GJ1141234988,86.01,STANDARD,PHONE,20100400189,07/09/2012 12:00:00 AM,KMALONE,07/11/2012 12:00:00 AM,,07/23/2012 12:00:00 AM,07/23/2012 12:00:00 AM,,1385990,421259,
ENGLISH WOODS,"1743 BLEECKER LN
Cincinnati, OH
(39.13804680375563, -84.5540226156794)",SR12032537,CLOSED  ,Pothole repair,Bleeker Ln needs to be patrolled for potholes,07/09/2012 12:00:00 AM,10:07 AM,1743 BLEECKER LN - GJ1140434915,86.01,STANDARD,PHONE,20100400001,07/09/2012 12:00:00 AM,KMALONE,07/11/2012 12:00:00 AM,,07/11/2012 12:00:00 AM,07/11/2012 12:00:00 AM,,1385950,421022,
WESTWOOD,"5410 GLENWAY AV
Cincinnati, OH
(39.12928818859535, -84.60627144992134)",SR12032342,CLOSED  ,Pothole repair,Hit buckled pothole at 30 miles per hour moderate speed and cause left side of vehilcle to come off road and viered into oncoming traffic.,07/06/2012 12:00:00 AM,3:37 PM,GLENWAY AV & GLENHILLS WY,109,STANDARD,INTERNET,24800030220,07/06/2012 12:00:00 AM,CSRWEB,07/08/2012 12:00:00 AM,,07/11/2012 12:00:00 AM,07/11/2012 12:00:00 AM,,1371203,418162,
WESTWOOD,"2938 QUEEN CITY AV
Cincinnati, OH
(39.1351157953452, -84.60007512113947)",SR12032237,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/06/2012 12:00:00 AM,10:15 AM,FERGUSON RD & QUEEN CITY AV,109,STANDARD,INTERNET,20800590084,07/06/2012 12:00:00 AM,CSRWEB,07/08/2012 12:00:00 AM,,10/02/2012 12:00:00 AM,10/02/2012 12:00:00 AM,,1372835,420362,
ROSELAWN,"7050 STEGER DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12032222,CLOSED  ,Pothole repair,SR12031834.  My request has been closed as completed and it has not. This pothole is long and too hard to straddle anymore.  Please repair.,07/06/2012 12:00:00 AM,9:12 AM,7050 STEGER DR CINC - GJ1843441197,62.02,STANDARD,INTERNET,11700070090,07/06/2012 12:00:00 AM,CSRWEB,07/08/2012 12:00:00 AM,,07/10/2012 12:00:00 AM,07/10/2012 12:00:00 AM,,1410011,440455,
QUEENSGATE,"1212 DALTON AV
Cincinnati, OH
(39.108747673446146, -84.5364211079056)",SR12032128,CLOSED  ,Pothole repair,THESE POT HOLES ARE ON THE EAST SIDE OF DALTON BUT THERE ARE OTHER POT HOLES ON DALTON THAT NEED TO BE ADDRESSED.,07/05/2012 12:00:00 AM,4:16 PM,1212 DALTON AV CINC - GJ1302331741,1,STANDARD,INTERNET,14300040001,07/05/2012 12:00:00 AM,CSRWEB,07/07/2012 12:00:00 AM,,07/13/2012 12:00:00 AM,07/13/2012 12:00:00 AM,,1390740,410361,
WESTWOOD,"2808 HARRISON AV
Cincinnati, OH
(39.14238231734197, -84.59221504660337)",SR12032075,CLOSED  ,Pothole repair,inbvound side of harrison at werk in middle of intersection  curb lane,07/05/2012 12:00:00 AM,1:54 PM,HARRISON AV & WERK RD,102.02,STANDARD,INTERNET,20800550042,07/05/2012 12:00:00 AM,CSRWEB,07/07/2012 12:00:00 AM,,07/11/2012 12:00:00 AM,07/11/2012 12:00:00 AM,,1375154,422929,
AVONDALE,"2616 ESSEX PL
Cincinnati, OH
(39.127993164873146, -84.49818193521975)",SR12031937,CLOSED  ,Pothole repair,exit 3 ramp to H W Taft Rd,07/04/2012 12:00:00 AM,1:03 PM,WILLIAM H TAFT RD & ESSEX PL,34,STANDARD,INTERNET,9100040030,07/04/2012 12:00:00 AM,CSRWEB,07/06/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1401715,417191,
MOUNT LOOKOUT,"1184 HERSCHEL AV
Cincinnati, OH
(39.12906335808799, -84.4229626406891)",SR12031903,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/03/2012 12:00:00 AM,3:45 PM,HERSCHEL AV & BEVERLY HILL DR,48,STANDARD,INTERNET,1900020018,07/03/2012 12:00:00 AM,CSRWEB,07/05/2012 12:00:00 AM,,07/09/2012 12:00:00 AM,07/09/2012 12:00:00 AM,,1423040,417008,
EAST PRICE HILL,"3732 MAYFIELD AV
Cincinnati, OH
(39.11578936493555, -84.57362606025771)",SR12031892,CLOSED  ,Pothole repair,per resident the pothole in front of his home caused damage to his vehicle he was given damage claim info.,07/03/2012 12:00:00 AM,3:17 PM,3732 MAYFIELD AV - GJ0977332446,92,STANDARD,PHONE,17400040132,07/03/2012 12:00:00 AM,DSWEETEN,07/05/2012 12:00:00 AM,,07/05/2012 12:00:00 AM,07/05/2012 12:00:00 AM,,1380204,413197,
CARTHAGE,"189 W NORTH BEND RD
Cincinnati, OH
(39.198239208581754, -84.48195816581119)",SR12031880,CLOSED  ,Pothole repair,Previous request (sr12030891) was closed with no action - No sink hole per 557 on 6/28/12.  Sink hole is still there.,07/03/2012 12:00:00 AM,2:28 PM,VAN KIRK AV & W NORTH BEND RD,61,STANDARD,INTERNET,23900020030,07/03/2012 12:00:00 AM,CSRWEB,07/05/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1406818,442584,W 
ROSELAWN,"7050 STEGER DR
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12031834,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,07/03/2012 12:00:00 AM,12:03 PM,7050 STEGER DR CINC - GJ1843441197,62.02,STANDARD,INTERNET,11700070090,07/03/2012 12:00:00 AM,CSRWEB,07/05/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1410011,440455,
OAKLEY,"2691 MADISON AV
Cincinnati, OH
(39.145269841024856, -84.44305166812767)",SR12031692,CLOSED  ,Pothole repair,There are several potholes on Edawrds Rd. between Madison Rd and Edmonson Rd,07/02/2012 12:00:00 AM,3:57 PM,EDWARDS RD & MADISON RD - GJ2099936043,52,STANDARD,PHONE,65100410325,07/02/2012 12:00:00 AM,DSWEETEN,07/04/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1417567,423151,
WESTWOOD,"3045 WESTKNOLLS LN
Cincinnati, OH
(39.14218446649551, -84.57536175177427)",SR12031617,CLOSED  ,Pothole repair,LARGE POTHOLE07/02/2012 12:16 PM/DTHOMAS - WESTKNOLLS LANE IS OFF OF CAVANAUGH. THANK YOU,07/02/2012 12:00:00 AM,12:13 PM,3045 WESTKNOLLS LN - GJ0952835356 At Address 3045 WESTKNOLLS LN,88,STANDARD,PHONE,20600120048,07/02/2012 12:00:00 AM,DTHOMAS,07/04/2012 12:00:00 AM,,07/05/2012 12:00:00 AM,07/05/2012 12:00:00 AM,,1379876,422771,
BOND HILL,"1142 CHEYENNE DR
Cincinnati, OH
(39.18491125610751, -84.47853174887956)",SR12031463,CLOSED  ,Pothole repair,The pot holes are getting worst. We are suffering damage to tire rods and ball joint damage on our vehicles due to pot holes.,06/30/2012 12:00:00 AM,10:03 AM,1142 CHEYENNE DR CINC - GJ1778440343,64,STANDARD,INTERNET,11600010041,06/30/2012 12:00:00 AM,CSRWEB,07/02/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1407741,437766,
LOWER PRICE HILL,"2378 GLENWAY AV
Cincinnati, OH
(39.10747063616452, -84.55400285357842)",SR12031207,CLOSED  ,Pothole repair,it is on the outbound side going up glenway right in middle of intercetion on the right side of the center lane,06/28/2012 12:00:00 AM,1:33 PM,GLENWAY AV & WILDER AV,93,STANDARD,INTERNET,14900130061,06/28/2012 12:00:00 AM,CSRWEB,06/30/2012 12:00:00 AM,,07/05/2012 12:00:00 AM,07/05/2012 12:00:00 AM,,1385700,409995,
MADISONVILLE,"5244 DUCK CREEK CT
Cincinnati, OH
(39.164406713839526, -84.40387003400707)",SR12031194,CLOSED  ,Pothole repair,large pothole on Red Bank- 5448 just before 7 hills school in city limits- auto damage- motor fell out of car after hitting pothole has to call tow truck. ,06/28/2012 12:00:00 AM,12:44 PM,RED BANK RD & DUCK CREEK RD - GJ2434138174,55,STANDARD,PHONE,5100110022,06/28/2012 12:00:00 AM,DCOTTRELL,06/30/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1428862,429588,
MOUNT AUBURN,"2411 AUBURN AV
Cincinnati, OH
(39.12593371742605, -84.50846118601464)",SR12031186,CLOSED  ,Pothole repair,Turning from Aurburn Ave. you can't see the hole until you are going down the street. You wil be in the turn and could cause you to lose steering control. The Pot-hole is on Kinsey ave.,06/28/2012 12:00:00 AM,12:22 PM,KINSEY AV & AUBURN AV,22,STANDARD,INTERNET,8900040040,06/28/2012 12:00:00 AM,CSRWEB,06/30/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1398792,416416,
NORTHSIDE,"1621 N ARGYLE AV
Cincinnati, OH
(39.168762955148054, -84.54365368371765)",SR12031178,CLOSED  ,Pothole repair,Manor Lane is an unpaved city street that at a minimum needs some gravel.  There are large rocks that are loose  and could damage cars as they drive over them.  There are several large potholes toward the end of the street (furthest away from N. Argyle Pl,06/28/2012 12:00:00 AM,10:57 AM,MANOR LN & N ARGYLE AV,79,STANDARD,INTERNET,19700360051,06/28/2012 12:00:00 AM,CSRWEB,06/30/2012 12:00:00 AM,,07/05/2012 12:00:00 AM,07/05/2012 12:00:00 AM,,1389139,432264,N 
WEST PRICE HILL,"4786 CLEVESDALE DR
Cincinnati, OH
(39.12066369033437, -84.59603716522787)",SR12031174,CLOSED  ,Pothole repair,large pothole at intersection Tuxworth & Clevedale also on Clevesdale,06/28/2012 12:00:00 AM,10:49 AM,4786 CLEVESDALE DR - GJ0782432942,100.01,STANDARD,PHONE,18200010162,06/28/2012 12:00:00 AM,DCOTTRELL,06/30/2012 12:00:00 AM,,07/05/2012 12:00:00 AM,07/05/2012 12:00:00 AM,,1373902,415139,
MOUNT AUBURN,"2351 AUBURN AV
Cincinnati, OH
(39.12452178184003, -84.50847917245522)",SR12031033,CLOSED  ,Pothole repair,the street is a one = way and you can't see it from the approching street. I drive a church van and this was a big jolt for our crew Sunday morning,06/27/2012 12:00:00 AM,4:09 PM,AUBURN AV & MCCORMICK PL,22,STANDARD,INTERNET,8800090013,06/27/2012 12:00:00 AM,CSRWEB,06/29/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1398781,415973,
CARTHAGE,"7036 POPLAR LN
Cincinnati, OH
(39.19390447640052, -84.47964690819589)",SR12030993,CLOSED  ,Pothole repair,several hazardous potholes street needs patroling,06/27/2012 12:00:00 AM,2:12 PM,7036 POPLAR LN - GJ1767641309 7036 Poplar Lane,61,STANDARD,PHONE,24000030044,06/27/2012 12:00:00 AM,VBANKS,06/29/2012 12:00:00 AM,,06/29/2012 12:00:00 AM,06/29/2012 12:00:00 AM,,1407541,440945,
WESTWOOD,"2584 MONTANA AV
Cincinnati, OH
(39.155089737615924, -84.58127929072708)",SR12030955,CLOSED  ,Pothole repair,large pothole middle of the road,06/27/2012 12:00:00 AM,12:24 PM,2584 MONTANA AV - GJ0899336790,101,STANDARD,PHONE,20900060026,06/27/2012 12:00:00 AM,DCOTTRELL,06/29/2012 12:00:00 AM,,07/03/2012 12:00:00 AM,07/03/2012 12:00:00 AM,,1378358,427558,
CARTHAGE,"189 W NORTH BEND RD
Cincinnati, OH
(39.198239208581754, -84.48195816581119)",SR12030891,CLOSED  ,Pothole repair,This seems to be a sink hole that is forming under a previous repair.  The blacktop is still intact but is collapsing into a void under the pavement.,06/27/2012 12:00:00 AM,9:54 AM,VAN KIRK AV & W NORTH BEND RD,61,STANDARD,INTERNET,23900020030,06/27/2012 12:00:00 AM,CSRWEB,06/29/2012 12:00:00 AM,,06/29/2012 12:00:00 AM,06/29/2012 12:00:00 AM,,1406818,442584,W 
MOUNT WASHINGTON,"6239 BEECHCREST PL
Cincinnati, OH
(39.090428483709275, -84.38444467817419)",SR12030865,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,06/27/2012 12:00:00 AM,8:52 AM,6239 BEECHCREST PL CINC - GJ2621330051,46.02,STANDARD,INTERNET,100030175,06/27/2012 12:00:00 AM,CSRWEB,06/29/2012 12:00:00 AM,,06/29/2012 12:00:00 AM,06/29/2012 12:00:00 AM,,1433673,402675,
MOUNT WASHINGTON,"2528 ELSTUN RD
Cincinnati, OH
(39.10484461583894, -84.39807840013839)",SR12030658,CLOSED  ,Pothole repair,several hazardous potholes in front of address06/26/2012 3:15 PM/DTHOMAS - gave to marcus potter on 2nd shift,06/26/2012 12:00:00 AM,11:03 AM,2528 ELSTUN RD - GJ2498831608,46.01,STANDARD,PHONE,400060009,06/26/2012 12:00:00 AM,DCOTTRELL,06/28/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,TMACK,1429912,407973,
MOUNT AUBURN,"2229 MAPLEWOOD AV
Cincinnati, OH
(39.1221655581233, -84.5045581284075)",SR12030643,CLOSED  ,Pothole repair,The whole street is crumbling,06/26/2012 12:00:00 AM,10:16 AM,2229 MAPLEWOOD AV CINC - GJ1570533302,22,STANDARD,INTERNET,8900020044,06/26/2012 12:00:00 AM,CSRWEB,06/28/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1399779,415038,
MOUNT AUBURN,"284 MCGREGOR AV
Cincinnati, OH
(39.12295696150903, -84.50452215552633)",SR12030641,CLOSED  ,Pothole repair,NUMEROUS POTHOLES ON MAPLE AVE BETWEEN MCGREGROR AVE & GILMAN STREET. HE ENTIRE STREET NEEDS REHABBED AS THERE  ARE NUMEOURS NUMEROUS POTHOLES,06/26/2012 12:00:00 AM,10:13 AM,MAPLEWOOD AV & MCGREGOR AV - GJ1573733384 At Address 284 MCGREGOR AV,22,STANDARD,PHONE,8900020007,06/26/2012 12:00:00 AM,DTHOMAS,06/28/2012 12:00:00 AM,,07/06/2012 12:00:00 AM,07/06/2012 12:00:00 AM,,1399895,415300,
CLIFTON,"601 MCALPIN AV
Cincinnati, OH
(39.15078198509559, -84.53130396555889)",SR12030562,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,06/25/2012 12:00:00 AM,2:55 PM,601 MCALPIN AV CINC - GJ1341336345,71,STANDARD,INTERNET,21500680061,06/25/2012 12:00:00 AM,CSRWEB,06/27/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1392770,425382,
COLLEGE HILL,"5455 LANIUS LN
Cincinnati, OH
(39.18988450692956, -84.54367863668205)",SR12030382,CLOSED  ,Pothole repair,in front ofand to the south of the fire hydrant,06/22/2012 12:00:00 AM,5:32 PM,5455 LANIUS LN CINC - GJ1212640707,81,STANDARD,INTERNET,23400040100,06/22/2012 12:00:00 AM,CSRWEB,06/24/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1389261,439881,
NORTH AVONDALE,"78 KESSLER PL
Cincinnati, OH
(39.16327356808256, -84.50664455551549)",SR12030314,CLOSED  ,Pothole repair,large pothole in the road,06/22/2012 12:00:00 AM,11:56 AM,78 KESSLER PL - GJ1542137873,70,STANDARD,PHONE,21800570129,06/22/2012 12:00:00 AM,DCOTTRELL,06/24/2012 12:00:00 AM,,06/29/2012 12:00:00 AM,06/29/2012 12:00:00 AM,,1399591,430057,
MOUNT AUBURN,"2411 AUBURN AV
Cincinnati, OH
(39.12593371742605, -84.50846118601464)",SR12030280,CLOSED  ,Pothole repair,NEAR 2406 AUBURN -  DANGEROUS TO TRAFFIC -BEEN AN ISSUE FOR A FEW MONTHS NOWSEVERAL REPORTS HAVE BEEN FILED PREVIOUSLY,06/22/2012 12:00:00 AM,10:33 AM,AUBURN AV & KINSEY AV - GJ1538433707,22,STANDARD,PHONE,8900040040,06/22/2012 12:00:00 AM,SSTUMPF,06/24/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1398792,416416,
EAST WALNUT HILLS,"2519 BELL PL
Cincinnati, OH
(39.12625747335659, -84.48153548445742)",SR12030215,CLOSED  ,Pothole repair,BELL PLACE is a popular connector street between two one-way streets in Walnut Hills. It is also a very popular street for parking by St Ursula students. During the normal school year of St. Ursula each side is full of parked cars making the center of the,06/21/2012 12:00:00 AM,11:56 PM,2519 BELL PL CINC - GJ1768233808,37,STANDARD,INTERNET,6200010042,06/21/2012 12:00:00 AM,CSRWEB,06/23/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1406338,416375,
EAST WALNUT HILLS,"1501 MADISON RD
Cincinnati, OH
(39.12984213677391, -84.47903679977227)",SR12030201,CLOSED  ,Pothole repair,This is the 3rd time reporting these potholes. The last case was closed last week but and said work completed but none of the holes were filled. They are on chapel st in walnut hills. They are on the section of chapel st that is between victory parkway an,06/21/2012 12:00:00 AM,5:25 PM,VICTORY PKWY & CHAPEL ST,37,STANDARD,INTERNET,6100010059,06/21/2012 12:00:00 AM,CSRWEB,06/23/2012 12:00:00 AM,,06/27/2012 12:00:00 AM,06/27/2012 12:00:00 AM,,1406956,417794,
MOUNT WASHINGTON,"1970 HONEYSUCKLE LN
Cincinnati, OH
(39.09009573455842, -84.3813420171731)",SR12030191,CLOSED  ,Pothole repair,POTHOLE IN FRONT OF THE DRIVEWAY,06/21/2012 12:00:00 AM,4:20 PM,1970 HONEYSUCKLE LN - GJ2650830041 At Address 1970 HONEYSUCKLE LN,46.02,STANDARD,PHONE,100040011,06/21/2012 12:00:00 AM,DTHOMAS,06/23/2012 12:00:00 AM,,06/29/2012 12:00:00 AM,06/29/2012 12:00:00 AM,,1434639,402593,
WALNUT HILLS,"921 YALE AV
Cincinnati, OH
(39.128955439444496, -84.48774080645956)",SR12030155,CLOSED  ,Pothole repair,potholes are in the intersection and 1 very large haz. pothole at 2620 Kemper approx. 5 feet form the intersection,06/21/2012 12:00:00 AM,2:20 PM,YALE AV & KEMPER LN - GJ1717534094 On Yale at Kemper Ln,37,STANDARD,PHONE,6700030101,06/21/2012 12:00:00 AM,VBANKS,06/23/2012 12:00:00 AM,,06/27/2012 12:00:00 AM,06/27/2012 12:00:00 AM,,1404724,417390,
WINTON HILLS,"4924 WINTON RD
Cincinnati, OH
(39.181970473071715, -84.5208628367987)",SR12030100,CLOSED  ,Pothole repair,Just hope the road can be repaired or resurfaced some time in the near future.  I live in Springfield Twp however work in the City of Cincincinati and travel back and forth to work everyday on Winton Road.  Has got to be the worse road in the City.,06/21/2012 12:00:00 AM,12:00 PM,WINTON RD & KINGS RUN DR,73,STANDARD,INTERNET,23800010022,06/21/2012 12:00:00 AM,CSRWEB,06/23/2012 12:00:00 AM,,08/21/2012 12:00:00 AM,08/21/2012 12:00:00 AM,TMACK,1395781,436780,
LOWER PRICE HILL,"1840 W 6TH ST
Cincinnati, OH
(39.101541217292386, -84.54517504266757)",SR12030071,CLOSED  ,Pothole repair,EB 6th st left lane at the top merging from upper viaduct,06/21/2012 12:00:00 AM,10:41 AM,RIVER RD & EVANS ST TO W 6TH EB ST RAMP - GJ1202230968,91,STANDARD,PHONE,15000070075,06/21/2012 12:00:00 AM,DCOTTRELL,06/23/2012 12:00:00 AM,,07/16/2012 12:00:00 AM,07/16/2012 12:00:00 AM,,1387333,407988,W 
CBD/RIVERFRONT,"580 WALNUT ST
Cincinnati, OH
(39.102326514156914, -84.51155485379542)",SR12030037,CLOSED  ,Pothole repair,Since it is in the crosswalk about 2 feet or so from the curb it is dangerous to pedestrians.  I twisted my ankle and knee this morning.  It is not an obvious pothole but more uneven pavement.,06/21/2012 12:00:00 AM,9:52 AM,580 WALNUT ST CINC - GJ1520631091,7,STANDARD,INTERNET,7800010007,06/21/2012 12:00:00 AM,CSRWEB,06/23/2012 12:00:00 AM,,07/27/2012 12:00:00 AM,07/27/2012 12:00:00 AM,,1397786,407876,
COLLEGE HILL,"6132 SUNRIDGE DR
Cincinnati, OH
(39.20100012721173, -84.52893874862184)",SR12030031,CLOSED  ,Pothole repair,large hazardous,06/21/2012 12:00:00 AM,9:41 AM,SUNRIDGE DR & EBONY LN - GJ1337942004 Sunridge dr @ Ebony Ln,81,HAZARDOUS,PHONE,23700010037,06/21/2012 12:00:00 AM,VBANKS,06/23/2012 12:00:00 AM,,06/21/2012 12:00:00 AM,06/21/2012 12:00:00 AM,,1393577,443922,
COLLEGE HILL,"1015 EBONY LN
Cincinnati, OH
(39.201045093313155, -84.52813835201573)",SR12030029,CLOSED  ,Pothole repair,2 large hazardous potholes,06/21/2012 12:00:00 AM,9:38 AM,1015 EBONY LN - GJ1343241980 in Front of 1015 Ebony Lan,81,HAZARDOUS,PHONE,23700010064,06/21/2012 12:00:00 AM,VBANKS,06/23/2012 12:00:00 AM,,06/21/2012 12:00:00 AM,06/21/2012 12:00:00 AM,TMACK,1393748,443835,
WESTWOOD,"2743 HARRISON AV
Cincinnati, OH
(39.141644873277926, -84.59158552118288)",SR12029891,CLOSED  ,Pothole repair,curb lane inbound side,06/20/2012 12:00:00 AM,11:58 AM,2743 HARRISON AV CINC - GJ0812735236,100.01,STANDARD,INTERNET,20800610077,06/20/2012 12:00:00 AM,CSRWEB,06/22/2012 12:00:00 AM,,06/25/2012 12:00:00 AM,06/25/2012 12:00:00 AM,,1375269,422610,
CBD/RIVERFRONT,"120 E 8TH ST
Cincinnati, OH
(39.10480335437206, -84.51171360472784)",SR12029889,CLOSED  ,Pothole repair,North side of 8th St at curb ramp.,06/20/2012 12:00:00 AM,11:56 AM,120 E 8TH ST CINC - GJ1519231368,7,STANDARD,INTERNET,7900010057,06/20/2012 12:00:00 AM,CSRWEB,06/22/2012 12:00:00 AM,,06/27/2012 12:00:00 AM,06/27/2012 12:00:00 AM,,1397780,408785,E 
AVONDALE,"3432 RIDGEWAY AV
Cincinnati, OH
(39.14194164954756, -84.48648175561857)",SR12029876,CLOSED  ,Pothole repair,wb on Cleveland near the Park entrance theres a large pothole on cleveland,06/20/2012 12:00:00 AM,11:30 AM,CLEVELAND AV & RIDGEWAY AV - GJ1722835552,67,STANDARD,PHONE,10700110089,06/20/2012 12:00:00 AM,DCOTTRELL,06/22/2012 12:00:00 AM,,06/27/2012 12:00:00 AM,06/27/2012 12:00:00 AM,,1405133,422158,
QUEENSGATE,"690 W 3RD ST
Cincinnati, OH
(39.09719138536963, -84.52533246728433)",SR12029848,CLOSED  ,Pothole repair,I am requesting these be filled for safety reasons. It's a bad corner with cars flying around the bend from Third Street. It makes it difficult to pull out of or into this drive dodgeing cars let alone having  to dodge potholes as well.Thanks very much.,06/20/2012 12:00:00 AM,10:28 AM,GEST ST & W 3RD ST,1,STANDARD,INTERNET,14700070059,06/20/2012 12:00:00 AM,CSRWEB,06/22/2012 12:00:00 AM,,06/25/2012 12:00:00 AM,06/25/2012 12:00:00 AM,,1393535,406205,W 
WESTWOOD,"3368 ANACONDA DR
Cincinnati, OH
(39.15189714441192, -84.57989433480196)",SR12029817,CLOSED  ,Pothole repair,pot holes are near the curb all along the street,06/20/2012 12:00:00 AM,9:11 AM,3368 ANACONDA DR CINC - GJ0913536434,100.02,STANDARD,INTERNET,20900050128,06/20/2012 12:00:00 AM,CSRWEB,06/22/2012 12:00:00 AM,,06/25/2012 12:00:00 AM,06/25/2012 12:00:00 AM,,1378769,426370,
SOUTH FAIRMOUNT,"1823 WESTWOOD AV
Cincinnati, OH
(39.125358151327305, -84.55879623999459)",SR12029794,CLOSED  ,Pothole repair,far right lane Westwood Avenue approx. 50' west of Van Hart,06/20/2012 12:00:00 AM,8:24 AM,WESTWOOD AV & VAN HART ST,89,STANDARD,INTERNET,20500210148,06/20/2012 12:00:00 AM,CSRWEB,06/22/2012 12:00:00 AM,,06/28/2012 12:00:00 AM,06/28/2012 12:00:00 AM,,1384431,416557,
